year, absolut, je 1.000 Lebendgeborene
1980,10.773,.
1981,10.177,.
1982,9.522,.
1983,8.606,.
1984,7.925,.
1985,7.419,.
1986,7.396,.
1987,7.284,.
1988,6.822,.
1989,6.579,.
1990,6.385,"7,0"
1991,5.711,"6,9"
1992,4.992,"6,2"
1993,4.665,"5,8"
1994,4.309,"5,6"
1995,4.053,"5,3"
1996,3.962,"5,0"
1997,3.951,"4,9"
1998,3.668,"4,7"
1999,3.496,"4,5"
2000,3.362,"4,4"
2001,3.163,"4,3"
2002,3.036,"4,2"
2003,2.99,"4,2"
2004,2.918,"4,1"
2005,2.696,"3,9"
2006,2.579,"3,8"
2007,2.656,"3,9"
2008,2.414,"3,5"
2009,2.334,"3,5"
2010,2.322,"3,4"
2011,2.408,"3,6"
2012,2.202,"3,3"
2013,2.25,"3,3"
2014,2.284,...
2015,2.405,"3,3"
2016,2.7,"3,4"
2017,2.571,"3,3"
2018,2.505,"3,2"
,,
,,
ERROR: (ORA-34492) Analytisches Arbeitsbereichsobjekt V2GD5002 ist nicht vorhanden.,,
In GBE.ISGBETOL!XS_FOOTNOTEREP PROGRAM:,,
  _disksize = obj(disksize joinchars('V2GD'_gdnumber)),,
,,
****************************************************************************************************,,
Die Tabelle wurde am 03.08.2020 14:01 Uhr unter www.gbe-bund.de erstellt.,,
****************************************************************************************************,,
,,
Quelle(n):,,
"Todesursachenstatistik, Statistisches Bundesamt, Zweigstelle Bonn",,
"Statistik der nat�rlichen Bev�lkerungsbewegung, Statistisches Bundesamt",,
